Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
xuiOptionsVideoDynamicMeshEnabledTooltip2,UI,Xui Video Option,x,,"REQUIRES RELOADING THE GAME FROM THE MAIN MENU! Enables or Disables the Dynamic Mesh System.\nWhen Enabled, distant player buildings and POI destruction will show in the distance. ",,"ERFORDERT EINEN NEUSTART VOM HAUPTMENÜ AUS.\nAktiviert oder deaktiviert das Dynamische Meshing.\nWenn diese Option aktiviert ist, werden entfernte Spielergebäude und zerstörte Sehenswürdigkeiten in der Ferne angezeigt. ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL\nActiva o desactiva el sistema de malla dinámica\nCuando está activada, los edificios lejanos del jugador y destrucción PDI se mostrarán a la distancia. ","EXIGE DE RECHARGER LE JEU DEPUIS LE MENU PRINCIPAL\nActive ou désactive le système de maille dynamique.\nLorsqu'il est activé, les bâtiments de joueurs éloignés et la destruction de points d'intérêt seront visibles au loin. ","È NECESSARIO RICARICARE IL GIOCO DAL MENU PRINCIPALE\nAttiva o disattiva il sistema di rete dinamico.\nQuando attivo, gli edifici distanti del giocatore e la distruzione PDI verrà mostrata a distanza. ","メインメニューからゲームをリロードしてください\nダイナミックメッシュシステムを有効化、または無効化します。\n有効化されていると、遠くにあるプレイヤーの建物やPOI破壊が、離れた位置で表示されます。 ","게임을 메인 메뉴에서 다시 불러와야 합니다\n다이나믹 메쉬 시스템을 켜거나 끕니다.\n활성화해두면 멀리 있는 플레이어 건물 및 POI 파괴가 멀리에서도 확인 가능합니다. ","WYMAGA PONOWNEGO WCZYTANIA GRY Z GŁÓWNEGO MENU\nWłączenie lub wyłączenie systemu siatki dynamicznej.\nPo włączeniu, dalekie budynki graczy i zniszczenia POI będą pokazywane z daleka. ","REQUER RECARREGAMENTO DO JOGO A PARTIR DO MENU PRICIPAL\nAtiva ou desativa o sistema de malha dinâmica.\nQuando ativado, construções de jogador distantes e destruição de PDT aparecerão à distância. ","ТРЕБУЕТСЯ ПЕРЕЗАПУСК ИГРЫ ИЗ ГЛАВНОГО МЕНЮ\nВключает или выключает систему динамической сетки.\nЕсли она включена, то удаленные здания игрока и уничтожение важных объектов будут видны на расстоянии. ","OYUNU ANA MENÜDEN YENİDEN BAŞLATMAYI GEREKTİRİR\nDinamik Mesh Sistemini Etkinleştirir veya Devre Dışı bırakır.\nEtkinleştirildiğinde uzaktaki oyuncu binaları ve İlgi Alanı yıkımları görünür. ","需要从主菜单重新加载游戏\n启用或停用动态网格系统。\n启用时，远方的玩家建筑和目标点毁坏会显示在远处。 ","需要自主選單重新載入遊戲\n啟用或停用動態網格系統。\n啟用時，遠方玩家建築和訊息點毀壞會顯示在遠處。 ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL\nActiva o desactiva el sistema de malla dinámica\nCuando está activada, los edificios lejanos del jugador y destrucción PDI se mostrarán a la distancia. "
xuiOptionsVideoDynamicMeshDistanceTooltip2,UI,Xui Video Option,x,,Distance in meters to which the rendering of the Dynamic Mesh system can be viewed.,,"Entfernung in Metern, bis zu der das Rendering des Dynamischen Meshings angezeigt werden kann.",Distancia en metros desde la que se puede ver la renderización del sistema de malla dinámica.,Distance en mètres pour laquelle le rendu du système de maille dynamique peut être consulté.,La distanza in metri in cui può essere visualizzato il rendering del sistema di rete dinamico.,ダイナミックメッシュシステムのレンダリングが見える距離（メートル）。,다이나믹 메쉬 시스템으로 렌더링하여 볼 수 있는 거리를 m로 표시합니다.,"Odległość w metrach, do której renderowanie systemu siatki dynamicznej będzie wyświetlane.",Distância em metros em que é possível ver a renderização do sistema de malha dinâmica.,"Расстояние в метрах, на котором будет виден рендеринг системы динамической сетки.",Dinamik Mesh sisteminin işlemesinin kaç metrede görünebileceğini belirler.,可以看到动态网格系统渲染的距离，单位为米。,可以看到動態網格系統渲染的距離，單位為米。,Distancia en metros desde la que se puede ver la renderización del sistema de malla dinámica.
xuiOptionsVideoDynamicMeshHighQualityMeshTooltip2,UI,XUI Dynamic Mesh Options,,,If true renders the distant meshes include more details. Uses more RAM ,,Bei Aktivierung werden die entfernten Meshes mit mehr Details gerendert. Verbraucht mehr RAM.,"Si está activada, la malla lejana incluye más detalles. Usa más RAM.","Si activée, les mailles éloignées comprennent plus de détails. Utilise plus de RAM.","Se attivata, rende le reti distanti più dettagliate. Usa più RAM",有効化している場合、遠くのメッシュがより多くのディテールをレンダリングする。より多くのRAMを使用する。,사용으로 표시하면 멀리 있는 메쉬를 더 높은 디테일로 불러옵니다. RAM을 많이 사용합니다.,Po włączeniu wyświetlone dalekie siatki zawierają więcej szczegółów. Zużywa więcej RAM-u.,"Se verdadeiro, renderiza as malhas distantes, incluindo mais detalhes. Usa mais RAM.","Если задан этот параметр, полигональные сетки удаленных объектов будут более детализированными. Требует больше оперативной памяти.",Üç boyutlu görüntü oluşturursa uzak mesh'ler daha fazla ayrıntı içerir. Daha fazla RAM kullanır,如果为“true”，则远处网格的渲染包含更多细节。使用更多的内存,若為「True」，則遠方網格的渲染會包含更多細節。使用更多的RAM,"Si está activada, la malla lejana incluye más detalles. Usa más RAM."
xuiOptionsVideoDynamicMeshLandClaimBufferTooltip2,UI,XUI Dynamic Mesh Options,,,The number of chunks around the Land Claim Block that the dynamic mesh system can work ,,"Die Anzahl der Stücke um den Gebietsschutz-Block, die das Dynamische Meshing bearbeiten kann.",La cantidad de áreas alrededor del bloque para reclamar territorio que puede definir el sistema de malla dinámica.,Le nombre de portions autour du bloc de revendication de terrain sur lesquelles le système de maille dynamique peut fonctionner.,Il numero di pezzi intorno al blocco di territorio rivendicato che possono essere processati dal sistema di rete dinamico.,ダイナミックメッシュシステムが効果を発揮する土地主張ブロック周辺のチャンクの数。,토지 소유권 블록 주변에서 다이나믹 메쉬 시스템을 적용하는 덩어리의 수를 설정합니다.,"Ilość fragmentów dokoła bloku z prawem własności do ziemi, na których działać będzie system dynamicznej siatki",O número de áreas ao redor do bloco de reivindicação de terra nas quais o sistema de malha dinâmica trabalha,"Количество областей вокруг блока присвоения земли, в которых может работать система динамической сетки",Dinamik mesh sisteminin çalışabileceği Alana El Koyma Bloku etrafındaki öbek miktarı,动态网格系统可以影响的土地征用块周围的块数,動態網格系統能在領地塊四周運作的塊數,La cantidad de áreas alrededor del bloque para reclamar territorio que puede definir el sistema de malla dinámica.
xuiOptionsVideoDynamicMeshLandClaimOnlyTooltip2,UI,XUI Dynamic Mesh Options,,,Dynamic mesh system only applies around Land Claim Blocks,,Das Dynamische Meshing gilt nur für Gebietsschutz-Blöcke.,El sistema de malla dinámica solo se implementa alrededor de bloques para reclamar territorio.,Le système de maille dynamique ne s'applique qu'autour de blocs de revendication de terrain.,Il sistema di rete dinamico si applica solo intorno ai blocchi di territorio rivendicato,ダイナミックメッシュシステムは土地主張ブロック周辺にのみ適用される。,다이나믹 메쉬 시스템을 토지 소유권 블록에만 적용합니다.,System dynamicznej siatki stosowany jest jedynie dokoła bloków prawa własności do ziemi,O sistema de malha dinâmica só se aplica em blocos de reivindicação de terra,Система динамической сетки применяется только вокруг блоков присвоения земли,Dinamik mesh sitemi sadece Alana El Koyma Bloklarının etrafında geçerli olur.,动态网格系统仅应用于土地征用块周围,動態網格系統僅套用在領地塊。,El sistema de malla dinámica solo se implementa alrededor de bloques para reclamar territorio.
xuiOptionsVideoDynamicMeshMaxMeshCacheTooltip2,UI,XUI Dynamic Mesh Options,,,The number of meshes that will be processed concurrently in the background. Higher values use more RAM.,,"Die Anzahl der Meshes, die gleichzeitig im Hintergrund verarbeitet werden. Höhere Werte verbrauchen mehr RAM.",La cantidad de mallas que se procesarán simultáneamente de fondo. Los valores más altos usan más RAM.,Le nombre de mailles qui seront traitées simultanément en arrière-plan. Des valeurs plus élevées utilisent plus de RAM.,Il numero di reti che potranno essere processate contemporaneamente in background. Maggiori valori usano più RAM.,バックグラウンドで同時に処理されることになるメッシュの数。数値が高いほど、より多くのRAMを使用する。,배경에서 동시에 처리하는 최대 메쉬의 수를 설정합니다. 숫자가 높으면 더 많은 RAM을 사용합니다.,Liczba siatek przetwarzanych jednocześnie w tle. Wyższe wartości zużywają więcej RAM-u.,O número de malhas que serão processadas ao mesmo tempo no plano de fundo. Valores maiores usam mais RAM.,"Количество полигональных сеток, одновременно обрабатываемых в фоновом режиме. Для высоких значений требуется больше оперативной памяти.",Arka planda eş zamanlı işlenecek mesh sayısı. Yüksek değerler daha fazla RAM kullanır.,将在后台同时处理的网格数。较高值将使用更多内存。,會在背景同時處理的網格數量。較高的值會使用較多 RAM。,La cantidad de mallas que se procesarán simultáneamente de fondo. Los valores más altos usan más RAM.
xuiOptionsVideoDynamicMeshMaxRegionLoadsTooltip2,UI,XUI Dynamic Mesh Options,,,The number of regions that will load at the same time (higher values may affect FPS),,"Die Anzahl der Regionen, die gleichzeitig geladen werden (höhere Werte können die FPS beeinträchtigen).",La cantidad de regiones que se cargarán al mismo tiempo (los valores más altos podrían afectar los FPS).,Le nombre de régions qui peuvent charger en même temps (des valeurs plus élevées peuvent affecter les IPS).,Il numero di regioni che verranno caricate contemporaneamente (valori più alti possono influire sui FPS),同時に負荷がかかる局所の数（数値が高いほどFPSに影響する可能性がある）,동시에 불러올 지역의 최대 수를 설정합니다 (너무 높이 설정하면 FPS에 문제가 생길 수 있습니다).,"Liczba regionów, które zostaną jednocześnie załadowane (wyższe wartości mogą wpłynąć na liczbę klatek na sekundę)",O número de regiões que carregarão ao mesmo tempo (valores maiores podem afetar a taxa de quadros),Количество одновременно загружаемых регионов (высокое значение может влиять на частоту кадров),Aynı anda yüklenecek bölge sayısı (yüksek değerler FPS'yi etkileyebilir).,将同时加载的区域数（较高值可能影响FPS）,會同時載入的區域數量（較高的值會影響 FPS）,La cantidad de regiones que se cargarán al mismo tiempo (los valores más altos podrían afectar los FPS).

Video Options, Currently Unknown
xuiOptionsVideoGammaTooltip,UI,Xui Video Options,x,,How bright the game is.\nPerformance Impact: [2B7C12]None[-]\n,,Wie hell das Spiel ist.\nAuswirkung auf die Leistung: Keine,Brillo del juego.\nImpacto sobre el rendimiento: Ninguno\n,La luminosité du jeu.\nImpact sur la performance : aucun\n,Quanto è luminoso il gioco.\nImpatto sulle prestazioni: Nessuno\n,ゲームの明るさを設定します。\nパフォーマンスへの影響：なし\n,게임의 밝기입니다.\n성능 영향: 없음\n,Określa jasność w grze.\nWpływ na wydajność: Brak\n,O brilho do jogo.\nImpacto no desempenho: Nenhum\n,Яркость игры.\nВлияние на производительность: нет\n,Oyunun parlaklığı.\nPerformans Etkisi: Yok\n,游戏的明亮度。\n性能影响：无\n,遊戲亮度。\n性能影響：無\n,Brillo del juego.\nImpacto sobre el rendimiento: Ninguno\n
xuiOptionsVideoStreamingMipmapsEnabledTooltip,UI,Xui Video Options,x,,Enables streaming of textures to GPU for reduced memory use.\nMemory Reduction: [FF9018]Medium[-] to [FF0000]High[-]\nHigh Quality textures need this on or FPS may be low.,,"Ermöglicht das Streamen von Texturen zur Grafikkarte für einen reduzierten Speicherverbrauch.\nReduzierung des Speicherverbrauches: [FF9018]Mittel[-] bis [FF0000]Hoch[-]\nTexturen mit hoher Qualität benötigen das Aktivieren dieser Funktion, da die FPS sonst niedrig sein könnten.",Permite la transmisión de texturas a la GPU para reducir el uso de memoria.\nReducción de memoria: [FF9018]Medio[-] a [FF0000]Alto[-]\nLas texturas de alta calidad necesitan este ajuste o la tasa de FPS puede ser baja.,Active le flux de textures vers la carte graphique pour réduire l'utilisation de la mémoire.\nRéduction de la mémoire : moyenne à élevée\nLes textures de haute qualité ont besoin que ce paramètre soit activé ou les FPS seront faibles.,Attiva lo streaming delle texture per la GPU per ridurre l'utilizzo della memoria.\nRiduzione della memoria: Da media a alta\nLe texture di alta qualità devono avere questa opzione attivata o gli FPS potrebbero risultare bassi.,GPUへのテクスチャストリーミングを有効にしてメモリ使用量を減らします。\nメモリ量軽減：中から高\n高品質テクスチャの場合、これをオンにする必要があります。しない場合、FPSが低くなる可能性があります。,메모리 사용을 줄이기 위해 텍스처를 GPU로 스트리밍합니다.\n메모리 사용 감소: 중간~높음\n높은 품질의 텍스처의 경우 이 설정을 켜지 않으면 FPS가 느려질 수 있습니다.,Włącza strumieniowanie tekstur do karty graficznej w celu zwolnienia pamięci.\nZwolnienie pamięci: Średnie–wysokie\nWysokiej jakości tekstury wymagają włączenia tej funkcji. W przeciwnym wypadku może spaść liczba klatek na sekundę.,"Ativa a transmissão de texturas para o GPU para reduzir o uso da memória.\nRedução de memória: Médio a baixo\nTexturas de alta qualidade precisam disso ativado, ou a FPS será baixa.","Включает потоковую передачу текстур в графический процессор для уменьшения использования памяти.\nСнижение использования памяти: от среднего к большому\nНеобходимо для текстур высокого качества, иначе FPS может быть низким.",Daha az bellek kullanımı için dokuların GPU'ya aktarılmasını sağlar.\nBellek Azaltma: [FF9018]Orta[-] ila Yüksek\nYüksek Kaliteli dokular için açılmalıdır yoksa FPS düşebilir.,开启GPU纹理流，降低内存的使用。\n内存减少：中到高\n高质量纹理需要开启此项，否则帧率会降低。,將紋理流傳輸至 GPU，減少內存使用。\n性能影響：中高\n高質量紋理需要該設置，否則 FPS 可能更低。,Permite la transmisión de texturas a la GPU para reducir el uso de memoria.\nReducción de memoria: [FF9018]Medio[-] a [FF0000]Alto[-]\nLas texturas de alta calidad necesitan este ajuste o la tasa de FPS puede ser baja.

Video Options, Warning Indicators
xuiOptionsVideoCannotChangeIngame2,UI,Xui Video Options,x,,Cannot be changed while in a game.,,Kann nicht während des Spiels geändert werden,No se puede cambiar durante el juego.,Ne peut être modifiée en cours de partie.,Non può essere cambiata mentre sei in una partita.,ゲーム中は変更できません。,게임 중에는 변경할 수 없습니다.,Nie można zmienić w grze.,Não pode ser alterada durante um jogo.,Нельзя изменить во время игры.,Oyundayken değiştirilemez.,游戏内无法进行更改。,遊戲中不可改變。,No se puede cambiar durante el juego.
xuiOptionsVideoWillNoUpdateIngame2,UI,Xui Video Options,x,,Distance will not update while playing a game.,,Gesamtqualität und Entfernung des Geländes.\nDie Entfernung wird während eines Spiels nicht aktualisiert.\nAuswirkung auf die Leistung: [FF0000]Hoch[-],La distancia no se actualizará durante el juego.,La distance ne sera pas mise à jour si vous êtes dans une partie.,Durante una partita, la distanza non viene aggiornata.,ゲーム中に距離は更新されません。,게임을 플레이하는 동안 거리는 업데이트되지 않습니다.,Odległość nie będzie aktualizowana podczas rozgrywki.,A distância não atualizará enquanto estiver num jogo.,Размер не будет обновляться во время игры.,Oyun oynarken mesafe güncellenmez.,游戏过程中不会更新距离。,遊戲進行中，距離不會更新。,La distancia no se actualizará durante el juego.
xuiOptionsVideoLanguageGameRestart,UI,Xui Video Options,newKey,,Requires a restart to apply.,,"Um die Einstellung zu übernehmen, ist ein Neustart erforderlich.",Es necesario reiniciar para aplicar el cambio.,Un redémarrage est nécessaire pour appliquer le changement.,È necessario riavviare per applicare la modifica.,適用するには再起動が必要です。,적용하려면 다시 시작해야 합니다.,Zastosowanie zmiany wymaga ponownego uruchomienia.,É preciso reiniciar para aplicar.,Для применения нужен перезапуск.,Uygulamak için yeniden başlatma gerekir.,生效需要重启游戏。,需要重新啟動方可生效。,Es necesario reiniciar para aplicar el cambio.
xuiOptionsVideoDynamicMeshMMReload,UI,Xui Video Option,x,,"REQUIRES RELOADING THE GAME FROM THE MAIN MENU! ",,"ERFORDERT EINEN NEUSTART VOM HAUPTMENÜ AUS. ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL. ","EXIGE DE RECHARGER LE JEU DEPUIS LE MENU PRINCIPAL. ","È NECESSARIO RICARICARE IL GIOCO DAL MENU PRINCIPALE. ","メインメニューからゲームをリロードしてください。 ","게임을 메인 메뉴에서 다시 불러와야 합니다. ","WYMAGA PONOWNEGO WCZYTANIA GRY Z GŁÓWNEGO MENU. ","REQUER RECARREGAMENTO DO JOGO A PARTIR DO MENU PRICIPAL. ","ТРЕБУЕТСЯ ПЕРЕЗАПУСК ИГРЫ ИЗ ГЛАВНОГО МЕНЮ. ","OYUNU ANA MENÜDEN YENİDEN BAŞLATMAYI GEREKTİRİR. ","需要从主菜单重新加载游戏。 ","需要自主選單重新載入遊戲。 ","REQUIERE RECARGAR EL JUEGO DESDE EL MENÚ PRINCIPAL. "

Video Options, Subtitles
xuiOptionsVideoDynaRes,UI,XUi Video Options,x,,Dynamic Resolution
xuiOptionsVideoRenders,UI,XUi Video Options,x,,Rendering
xuiOptionsVideoPicQual,UI,XUi Video Options,x,,Picture Quality
xuiOptionsVideoImgEfct,UI,XUi Video Options,x,,Image Effects
xuiOptionsVideoOpacity,UI,XUi Video Options,x,,Opacity Settings
xuiOptionsVideoScaSize,UI,XUi Video Options,x,,Size & Scale

Audio Options, Subtitles
xuiOptionsAudioSound,UI,XUi Audio Options,x,,Sound & Music
xuiOptionsAudioVoice,UI,XUi Audio Options,x,,Communication
xuiOptionsAudioDynaM,UI,XUi Audio Options,x,,Dynamic Music

Controls Options, Subtitles
xuiOptionsControlsSenSet,UI,XUi Controls Options,x,,Sensitivity Settings
xuiOptionsControlsMouseS,UI,XUi Controls Options,x,,Mouse Settings
xuiOptionsControlsContrS,UI,XUi Controls Options,x,,Controller Settings

xuiOptionsControlsMovMKB,UI,XUi Controls Options,x,,Movement Keybinds
xuiOptionsControlsToBtKB,UI,XUi Controls Options,x,,Toolbelt Keybinds
xuiOptionsControlsVhclKB,UI,XUi Controls Options,x,,Vehicle Keybinds

xuiOptionsControlsMenuKB,UI,XUi Controls Options,x,,Menu Keybinds
xuiOptionsControlsUIKBnd,UI,XUi Controls Options,x,,UI Keybinds
xuiOptionsControlsMiscKB,UI,XUi Controls Options,x,,Misc Keybinds

xuiOptionsControlsEditKB,UI,XUi Controls Options,x,,Editing Keybinds
xuiOptionsControlsGlobKB,UI,XUi Controls Options,x,,Global Keybinds
xuiOptionsControlsContrB,UI,XUi Controls Options,x,,Gamepad Bindings

Audio Options, Sound
xuiOptionsAudioOverallAudioVolumeLevelTooltip2,UI,XUi Audio Options,x,,Sets volume for all sound,,Steuert die Gesamtlautstärke für alle Quellen,Ajusta el volumen de todos los sonidos,Définit le volume pour tous les sons,Imposta il volume di tutti i suoni,全てのサウンドの音量を設定します。,모든 사운드의 음량 설정,Konfiguruje głośność wszystkich dźwięków,Define o volume do som geral,Устанавливает громкость для всех звуков,Tüm seslerin düzeyini belirler,设置所有声音的音量,設置所有聲音音量,Ajusta el volumen de todos los sonidos
xuiOptionsAudioAmbientVolumeLevelTooltip2,UI,XUi Audio Options,x,,Sets environmental sound volume,,Steuert die Umgebungslautstärke,Establece el volumen del sonido ambiental,Définit le volume du son de l'environnement,Imposta il volume dei suoni ambientali,環境サウンド音量を設定します。,환경 사운드의 음량 설정,Konfiguruje głośność dźwięków otoczenia,Define o volume dos sons ambientes,Устанавливает громкость звука окружающей среды,Ortam ses düzeyini belirler,设置环境音量,設置環境音量,Establece el volumen del sonido ambiental
xuiOptionsAudioInGameMusicVolumeLevelTooltip2,UI,XUi Audio Options,x,,Sets volume for in-game music,,Steuert die Musiklautstärke im Spiel,Ajusta el volumen para la música del juego,Définit le volume de la musique en jeu,Imposta il volume della musica in partita,ゲーム内音楽の音量を設定します。,게임 내 음악의 음량 설정,Konfiguruje głośność muzyki w grze,Define o volume da música do jogo,Устанавливает громкость внутриигровой музыки,Oyun içi müzik ses düzeyini ayarlar,设置游戏内音乐的音量,啟用遊戲中音樂音量,Ajusta el volumen para la música del juego
xuiOptionsAudioMenuMusicVolumeLevelTooltip2,UI,XUi Audio Options,x,,Sets volume for menu music,,Steuert die Musiklautstärke im Menü,Ajusta el volumen de la música del menú,Définit le volume de la musique dans les menus,Imposta il volume della musica nel menu,メニュー音楽の音量を設定します。,메뉴 음악의 음량 설정,Konfiguruje głośność muzyki w menu,Define o volume da música do menu,Устанавливает громкость музыки меню,Menü müziğinin ses düzeyini ayarlar,设置菜单音乐音量,設置選單音樂音量,Ajusta el volumen de la música del menú
xuiOptionsAudioDynamicMusicEnabledTooltip2,UI,Xui Audio Options,x,,Enables in-game music.\n(Note that content is loaded when toggling on in-game and may take some time),,"Aktiviert Musik im Spiel.\n(Beachte, dass Inhalte geladen werden, wenn dies im Spiel aktiviert wird, und ein wenig Zeit in Anspruch nehmen kann)","Habilita la música en el juego.\n(Ten en cuenta que, cuando la activas en el juego, el contenido se carga en el momento y podría tardar un tiempo)",Active la musique en jeu.\n(Remarque : ce contenu est chargé lorsqu'il est activé dans le jeu et cela peut prendre un certain temps),Attiva la musica nel gioco.\n(Il contenuto viene caricato quando lo si attiva nel gioco e potrebbe richiedere un po' di tempo),ゲーム内音楽を有効にします。\n（注記：このコンテンツは、ゲーム内で切り替えをする際に読み込まれるものであり、時間がかかる可能性があります）,"게임 내 음악을 활성화합니다.\n(이 옵션을 켤 경우 게임 내에서 콘텐츠를 불러올 수 있으며, 이때 시간이 걸릴 수 있습니다.)","Włącza muzykę w grze.\n(Pamiętaj, że po przełączeniu w grze wczytywana jest zawartość, co może chwilę potrwać)",Ativa a música do jogo.\n(Observe que o conteúdo é carregado no momento da ativação em jogo e pode demorar um pouco),"Включает внутриигровую музыку.\n(Обратите внимание, что она загружается при включении, и это может занять некоторое время.)",Oyun içi müziği etkinleştirir.\n(İçeriğin oyun içinde değiştirme yapılırken yüklendiğini ve biraz zaman alabileceğini unutma.),开启游戏内音乐\n（注意，在游戏内切换至开启将会加载内容，而且可能需要花点时间）,啟用遊戲內音樂。\n（請注意：在遊戲內切換時會載入內容，可能需要一些時間）,"Habilita la música en el juego.\n(Ten en cuenta que, cuando la activas en el juego, el contenido se carga en el momento y podría tardar un tiempo)"
xuiOptionsAudioDynamicMusicDailyTimeAllottedTooltip2,UI,XUi Audio Options,x,,percentage of time music is allowed to play on a given day.\n(Note that 100% will not yield continuous music),,"Anteil der Zeit eines Tages, während der Musik abgespielt werden darf.\n(100 % bedeutet nicht, dass durchgängig Musik gespielt wird)",porcentaje de tiempo que se permite que la música suene en un día determinado.\n(Ten en cuenta que el 100 % no producirá música continua),Pourcentage de temps où la musique est autorisée un jour donné.\n(Veuillez noter que 100 % ne correspond pas à la musique en continu.),percentuale di tempo in cui è consentito suonare musica in un determinato giorno.\n(Nota che il 100% non produrrà musica continua),一日の内で音楽の再生が許される時間の割合です。(100%に設定しても延々と音楽が再生されることはありません),특정일에 음악이 재생되는 시간의 비율\n(100%로 설정해도 음악이 계속 재생되지는 않습니다),"Udział procentowy czasu, w którym można danego dnia słuchać muzyki.\n(Uwaga: przy wartości 100% muzyka nie będzie odtwarzana bez przerwy).",porcentagem de tempo em que a música pode tocar em um dia específico.,"процент времени, в течение которого музыка может воспроизводиться в данный день. (Обратите внимание, что 100% не даст непрерывную музыку)",herhangi bir günde müzik çalmaya izin verilen süre yüzdesi.\n(%100 ile devamlı müzik sağlanmaz),指定的一日中允许的音乐时间百分比。\n（注意100%并不会让音乐持续不断）,某一天允許播放音樂的百分比。\n（注意： 100%時不會連續播放音樂）,porcentaje de tiempo que se permite que la música suene en un día determinado.\n(Ten en cuenta que el 100 % no producirá música continua)

Audio Options, Voice
xuiOptionsAudioMumblePositionalAudioSupportEnabledTooltip2,UI,XUi Audio Options,x,,"Enable support for Mumble's Positional Audio feature. Needs to also be enabled within the Mumble client.\nSee the ""Mumble Positional Audio"" page on the official 7 Days To Die wiki on Fandom for further details.",,Aktiviere die Unterstützung für die Mumble-Funktion „Positionelles Audio“. Muss auch im Mumble-Client aktiviert werden.\nWeitere Informationen findest du auf der Seite „Mumble Positional Audio“ im offiziellen „7 Days To Die“-Wiki auf Fandom.,Habilita la compatibilidad con la función de sonido posicional (Positional Audio) de Mumble. También se debe habilitar en el cliente de Mumble.\nConsulta la página “Mumble Positional Audio” en la wiki oficial de 7 Days To Die en Fandom para obtener más información.,"Active la fonctionnalité de prise en charge de l'audio positionnel de Mumble. Doit également être activé dans le logiciel Mumble.\nPour plus d'informations, voir la page ""Mumble Positional Audio"" sur la page officielle du wiki 7 Days To Die sur Fandom.","Attiva il supporto per l'audio posizionale di Mumble. Deve essere attivato anche nel client Mumble.\nVisita la pagina ""Audio posizionale di Mumble"" sulla wiki ufficiale di 7 Days to Die su Fandom per ulteriori dettagli.",Mumble Positional Audio機能のサポートを有効にしてください。Mumbleクライアント内でも有効にする必要があります。\n詳細については、Fandomでの7 Days To Die Wiki公式サイトの「Mumble Positional Audio」ページを参照してください。,Mumble's Positional Audio 기능 지원을 활성화합니다. Mumble 클라이언트 내에서도 활성화가 필요합니다.\n자세한 내용은 Fandom의 7 Days To Die 공식 위키의 Mumble Positional Audio 페이지를 확인하세요.,Włącza wsparcie dla funkcji dźwięku pozycyjnego Mumble. Należy je także uruchomić poprzez klienta Mumble.\nWięcej informacji znajdziesz na stronie „Dźwięk pozycyjny Mumble” w oficjalnej wikipedii 7 Days to Die na platformie Fandom.,Ativa o suporte de recursos de áudio posicional do Mumble. Também precisa ser ativado com o cliente do Mumble.\nVeja mais detalhes na página “Áudio Posicional Mumble” no wiki oficial do 7 Days to Die no Fandom.,"Включает поддержку функции «Позиционный звук» от Mumble. Также функция должна быть включена в Mumble.\nПерейдите на страницу официальной вики 7 Days To Die и откройте страницу «Позиционный звук Mumble», чтобы узнать больше.","Mumble Konum Sesi özelliği için desteği etkinleştir. Mumble istemcisinde de etkinleştirilmesi gerekir.\nDetaylı bilgi için Fandom'da bulunan resmi 7 Days to Die wiki bölümündeki ""Mumble Konum Sesi"" sayfasını incele.",启用对杂音定位音频功能的支持。还需要在Mumble客户端中启用。\n更多相关详细信息请参阅Fandom《7 Days to Die》官方维基上的“Mumble定位音频支持”页面。,啟用 Mumble 定位音效支援功能。需要在 Mumble 客戶端同時啟用此功能。\n詳情請參閱 Fandom 上的《七日殺》官方維基網頁中，有關「Mumble 定位音效」的頁面說明。
xuiOptionsAudioVoiceChatEnabledTooltip2,UI,XUi Audio Options,x,,Toggles voice chat,,Voice-Chat an/aus,Cambia el chat de voz,Active/désactive le chat vocal,Attiva/Disattiva chat vocale,ボイスチャットの切替をします。,음성 채팅 변환,Włącza czat głosowy,Alterna o bate-papo por voz,Включает голосовой чат,Sesli sohbeti açar açıp kapatır,切换语音聊天,切換語音聊天,Cambia el chat de voz
xuiOptionsAudioVoiceOutputDeviceTooltip2,UI,XUi Audio Options,newKey,,Select device used for voice output.,,"Wähle das Gerät aus, das für die Sprachausgabe verwendet wird.",Selecciona el dispositivo de salida de voz.,Sélectionnez le périphérique à utiliser pour la sortie audio.,Seleziona il dispositivo da utilizzare per l'uscita voce.,音声出力に使用するデバイスを選択します。,음성 출력에 사용할 기기를 선택하세요.,Wybierz urządzenie używane do odtwarzania głosu.,Selecione um dispositivo usado para saída de voz.,Выберите устройство для вывода голоса.,Ses çıkışı için kullanılan cihazı seç.,选择用于语音输出的设备。,選擇用於語音輸出的裝置。,Selecciona el dispositivo de salida de voz.
xuiOptionsAudioVoiceInputDeviceTooltip2,UI,XUi Audio Options,newKey,,Select microphone used for voice input.,,"Wähle das Mikrofon aus, das für die Spracheingabe verwendet wird.",Selecciona el micrófono de entrada de voz.,Sélectionnez le micro à utiliser pour l'entrée audio.,Seleziona il microfono da utilizzare per l'ingresso voce.,音声入力に使用するマイクを選択します。,음성 입력에 사용할 마이크를 선택하세요.,Wybierz mikrofon używany do mówienia.,Selecione o microfone usado para entrada de voz.,Выберите микрофон для голосового ввода.,Ses girişi için kullanılan mikrofonu seç.,选择用于语音输入的麦克风。,選擇用於語音輸入的麥克風。,Selecciona el micrófono de entrada de voz.
